opinion_id	field	garbled_token	nearest_roster	edit_distance
3500	judges	Burice	bruce	2
3510	judges	Burice	bruce	2
3520	judges	Bubke	burke	1
3532	judges	Burice	bruce	2
3553	judges	Burice	bruce	2
3556	judges	Bure	burke	1
3588	judges	Burice	bruce	2
3610	judges	Burice	bruce	2
3622	judges	Burice	bruce	2
3628	judges	Bure	burke	1
3632	judges	Burice	bruce	2
3634	judges	Burice	bruce	2
3635	judges	Bure	burke	1
3637	judges	Buer	burr	1
3638	judges	Burice	bruce	2
3640	judges	Burice	bruce	2
3642	judges	Bure	burke	1
3645	judges	Burk	burke	1
3650	judges	Bure	burke	1
3651	judges	Burice	bruce	2
3657	judges	Burice	bruce	2
3666	judges	Bubke	burke	1
3712	judges	Bukke	burke	1
3712	judges	Bure	burke	1
3716	judges	Burice	bruce	2
3717	judges	Burice	bruce	2
3722	judges	Burice	bruce	2
3732	judges	Burice	bruce	2
3745	judges	Burice	bruce	2
3752	judges	Bcjrke	burke	2
3762	judges	Bure	burke	1
3765	judges	Burice	bruce	2
3769	judges	Burice	bruce	2
3773	judges	Burice	bruce	2
3789	judges	Bure	burke	1
3795	judges	Bure	burke	1
3796	judges	Burkee	burke	1
3800	judges	Bure	burke	1
3807	judges	Burice	bruce	2
3816	judges	Bubke	burke	1
3817	judges	Bubke	burke	1
3820	judges	Burice	bruce	2
3822	judges	Bukr	burr	1
3822	judges	Bueke	burke	1
3825	judges	Bure	burke	1
3826	judges	Bueke	burke	1
3826	judges	Bure	burke	1
3830	judges	Bukke	burke	1
3831	judges	Bure	burke	1
3836	judges	Burice	bruce	2
3837	judges	Buke	burke	1
3839	judges	Buree	burke	1
3841	judges	Bubke	burke	1
3845	judges	Bueke	burke	1
3846	judges	Burice	bruce	2
3847	judges	Bukr	burr	1
3848	judges	Bueke	burke	1
3850	judges	Buer	burr	1
3851	judges	Buer	burr	1
3853	judges	Bure	burke	1
3854	judges	Buer	burr	1
3856	judges	Bueke	burke	1
3859	judges	Bubke	burke	1
3859	judges	Bure	burke	1
3861	judges	Bueke	burke	1
3864	judges	Bubke	burke	1
3869	judges	Bure	burke	1
3869	judges	Burice	bruce	2
3870	judges	Bubke	burke	1
3870	judges	Bukr	burr	1
3871	judges	Bukke	burke	1
3871	judges	Bure	burke	1
3872	judges	Buer	burr	1
3875	judges	Bueke	burke	1
3876	judges	Bueke	burke	1
3877	judges	Bubke	burke	1
3878	judges	Bukke	burke	1
3878	judges	Bukr	burr	1
3882	judges	Bueke	burke	1
3882	judges	Buer	burr	1
3883	judges	Bubr	burr	1
3884	judges	Bukke	burke	1
3886	judges	Bueke	burke	1
3887	judges	Bueke	burke	1
3891	judges	Burice	bruce	2
3894	judges	Bueke	burke	1
3898	judges	Bubke	burke	1
3899	judges	Burb	burr	1
3900	judges	Bueke	burke	1
3902	judges	Bure	burke	1
3903	judges	Bueke	burke	1
3903	judges	Bure	burke	1
3904	judges	Bure	burke	1
3906	judges	Bueke	burke	1
3907	judges	Bueke	burke	1
3909	judges	Burk	burke	1
3910	judges	Bueke	burke	1
3911	judges	Bubr	burr	1
3913	judges	Buer	burr	1
3913	judges	Buimke	burke	2
3914	judges	Bubke	burke	1
3915	judges	Bure	burke	1
3915	judges	Buree	burke	1
3916	judges	Bubr	burr	1
3918	judges	Bukke	burke	1
3920	judges	Bubke	burke	1
3921	judges	Bueke	burke	1
3924	judges	Bueke	burke	1
3925	judges	Bure	burke	1
3927	judges	Bubke	burke	1
3927	judges	Buer	burr	1
3928	judges	Bure	burke	1
3931	judges	Burice	bruce	2
3932	judges	Bure	burke	1
3935	judges	Bueke	burke	1
3937	judges	Buree	burke	1
3937	judges	Bure	burke	1
3940	judges	Burkb	burke	1
3941	judges	Bubke	burke	1
3944	judges	Bueke	burke	1
3945	judges	Bukke	burke	1
3946	judges	Buree	burke	1
3948	judges	Bubke	burke	1
3949	judges	Bure	burke	1
3952	judges	Bubke	burke	1
3952	judges	Bueke	burke	1
3953	judges	Bueke	burke	1
3955	judges	Bubr	burr	1
3956	judges	Bukke	burke	1
3957	judges	Bueke	burke	1
3959	judges	Bubke	burke	1
3961	judges	Burk	burke	1
3964	judges	Bueke	burke	1
3965	judges	Buree	burke	1
3966	judges	Bubke	burke	1
3968	judges	Buer	burr	1
3968	judges	Bueke	burke	1
3969	judges	Bubke	burke	1
3971	judges	Buree	burke	1
3978	judges	Buree	burke	1
3979	judges	Bubke	burke	1
3985	judges	Buree	burke	1
3985	judges	Buer	burr	1
3986	judges	Bure	burke	1
3987	judges	Bubke	burke	1
3989	judges	Bure	burke	1
3990	judges	Bueke	burke	1
3991	judges	Bubke	burke	1
3993	judges	Bueke	burke	1
3995	judges	Bueke	burke	1
3996	judges	Bubke	burke	1
4004	judges	Bure	burke	1
4007	judges	Bueke	burke	1
4008	judges	Bueke	burke	1
4010	judges	Bueke	burke	1
4010	judges	Buer	burr	1
4011	judges	Bueke	burke	1
4013	judges	Bueke	burke	1
4013	judges	Bubr	burr	1
4014	judges	Buree	burke	1
4015	judges	Buhr	bahr	1
4016	judges	Bueke	burke	1
4017	judges	Bubr	burr	1
