oid	neutral	year	pages	fullpage_imgs	img_mp	kb_per_page	classification	has_2nd_source	pdf_path
12496	1997 ND 149	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND149.pdf
12491	1997 ND 150	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND150.pdf
12497	1997 ND 151	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND151.pdf
12499	1997 ND 160	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND160.pdf
12500	1997 ND 155	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND155.pdf
12502	1997 ND 159	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND159.pdf
12503	1997 ND 165	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND165.pdf
12504	1997 ND 153	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND153.pdf
12505	1997 ND 163	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND163.pdf
12506	1997 ND 161	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND161.pdf
12507	1997 ND 166	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND166.pdf
12508	1997 ND 162	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND162.pdf
12509	1997 ND 164	1997	5	0	0.0	35	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND164.pdf
12510	1997 ND 154	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND154.pdf
12511	1997 ND 158	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND158.pdf
12512	1997 ND 152	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND152.pdf
12514	1997 ND 156	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND156.pdf
12515	1997 ND 157	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND157.pdf
12516	1997 ND 167	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND167.pdf
12501	1997 ND 169	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND169.pdf
12513	1997 ND 168	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND168.pdf
12517	1997 ND 173	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND173.pdf
12518	1997 ND 171	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND171.pdf
12519	1997 ND 174	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND174.pdf
12520	1997 ND 176	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND176.pdf
12521	1997 ND 172	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND172.pdf
12522	1997 ND 175	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND175.pdf
12527	1997 ND 177	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND177.pdf
12536	1997 ND 170	1997	15	15	222.7	60	SCANNED_OCR	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND170.pdf
12523	1997 ND 180	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND180.pdf
12524	1997 ND 178	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND178.pdf
12525	1997 ND 179	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND179.pdf
12528	1997 ND 181	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND181.pdf
12354	1997 ND 9	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND9.pdf
12529	1997 ND 190	1997	12	0	0.0	5	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND190.pdf
12530	1997 ND 192	1997	9	0	0.0	6	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND192.pdf
12531	1997 ND 194	1997	7	0	0.0	6	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND194.pdf
12532	1997 ND 191	1997	8	0	0.0	7	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND191.pdf
12533	1997 ND 193	1997	9	0	0.0	7	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND193.pdf
12534	1997 ND 182	1997	8	0	0.0	6	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND182.pdf
12535	1997 ND 187	1997	13	0	0.0	6	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND187.pdf
12537	1997 ND 188	1997	16	0	0.0	4	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND188.pdf
18253	1997 ND 183	1997	2	0	0.0	13	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND183.pdf
18254	1997 ND 184	1997	2	0	0.0	14	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND184.pdf
18255	1997 ND 185	1997	2	0	0.0	14	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND185.pdf
18256	1997 ND 186	1997	2	0	0.0	14	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND186.pdf
18257	1997 ND 189	1997	2	0	0.0	14	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND189.pdf
18258	1997 ND 195	1997	2	0	0.0	14	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND195.pdf
12526	1997 ND 196	1997	2	0	0.0	21	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND196.pdf
12538	1997 ND 202	1997	11	0	0.0	6	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND202.pdf
12539	1997 ND 201	1997	8	0	0.0	6	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND201.pdf
12540	1997 ND 197	1997	14	0	0.0	5	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND197.pdf
12551	1997 ND 199	1997	21	0	0.0	4	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND199.pdf
12558	1997 ND 200	1997	14	0	0.0	5	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND200.pdf
